2018-11-05 19:51:05.468 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2018-11-05 19:51:05.471 [main] INFO  com.cn.szl.tupu.TupuApplication - Started TupuApplication in 2.123 seconds (JVM running for 2.808)
2018-11-05 19:51:08.372 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-11-05 19:51:08.372 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2018-11-05 19:51:08.387 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 15 ms
2018-11-05 20:02:44.194 [main] INFO  com.cn.szl.tupu.TupuApplication - Starting TupuApplication on DESKTOP-N1LNUQ6 with PID 1520 (started by ylaxfcy in C:\Users\ylaxfcy\Desktop\base项目\tupu)
2018-11-05 20:02:44.196 [main] INFO  com.cn.szl.tupu.TupuApplication - No active profile set, falling back to default profiles: default
2018-11-05 20:02:44.229 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5e0826e7: startup date [Mon Nov 05 20:02:44 CST 2018]; root of context hierarchy
2018-11-05 20:02:45.022 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2018-11-05 20:02:45.033 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2018-11-05 20:02:45.039 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2018-11-05 20:02:45.040 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31
